timestamp,juice_type,concentration,avg_ch1,avg_ch2,avg_ch3,avg_ch4,avg_ch5,avg_ch6,avg_ch7,avg_ch8,avg_ch9,avg_ch10,avg_ch11,avg_ch12
2025-12-13T12:31:51,grape1,high,5,61,116,57,139,77,389.4,515.4,566.6,315,45,36
2025-12-13T12:33:40,grape1,medium,18,283.6,529.6,227.6,657.6,329,1318.4,1368.6,1142.8,538.2,72,72
2025-12-13T12:35:09,grape1,low,64,1039.4,1864.4,745.8,2158.4,954.6,3312.2,2829.6,1911.2,829.2,117.6,136.4
2025-12-13T12:49:10,grape2,low,138.6,1577.2,2459.4,909.2,1859.4,939.4,3494,3367.6,2484,1109.6,209.4,244.8
2025-12-13T12:51:04,grape2,medium,34,591.8,906,297,469.4,291,1590.8,1996.6,1862.4,853.8,112,115.8
2025-12-13T12:52:19,grape2,high,8,75,107,46,47.6,33,404.4,733,1055.4,613.8,91,73.6
2025-12-13T13:04:49,grape3,low,1067.8,4721.8,6611,3452.8,7034.8,3548.2,9011.6,7058.8,4473.2,2566.4,1304.8,1552.4
2025-12-13T13:06:18,grape3,medium,682,3268,4665.8,2350.8,4872.2,2496,6884.4,5753,3804.4,2013.8,861.8,1029
2025-12-13T13:07:05,grape3,high,283.6,1663.6,2491.4,1170.4,2479,1323,4493.4,4400.6,3279.8,1540.2,419.2,495.6
2025-12-13T13:41:11,orange1,high,1,3,6,4,72,47,148,143,91,41,5,4
2025-12-13T13:43:04,orange1,medium,2,15,41,25.2,193,101,316.6,283.4,178,80,10,9
2025-12-13T13:44:25,orange1,low,39,675.8,1362.4,599.8,2113,906,2879.6,2228.6,1318.4,559,73,84.4
2025-12-13T13:55:32,orange2,high,2,11,29,19,169,96,309,291.8,196,93,13,11.8
2025-12-13T13:56:20,orange2,medium,6,41,106,66,413.2,215.4,698.6,637,424.8,201.8,28,26.6
2025-12-13T13:57:20,orange2,low,14.8,181,414.4,216,1017.2,476,1548.4,1300,831.8,375.4,51,56
2025-12-13T14:11:58,orange3,high,15.0,173.0,327.0,145.0,798.0,459.0,1446.8,1290.0,818.0,366.0,49.0,52.0
2025-12-13T14:12:57,orange3,medium,39.0,610.8,1130.0,462.2,1859.6,908.8,2880.0,2344.6,1411.4,601.2,78.8,93.0
2025-12-13T14:14:01,orange3,low,193.2,1489.8,2477.4,1105.0,3365.6,1588.6,4695.8,3642.8,2153.2,990.8,258.2,313.8
2025-12-13T14:27:31,apple1,low,1469.8,6132.2,8560.0,4628.0,9511.6,4699.0,11291.4,8310.8,5060.0,3100.2,1770.6,2102.4
2025-12-13T14:28:31,apple1,medium,1427.0,5684.0,8038.8,4506.4,9432.2,4654.2,11213.0,8281.0,5039.8,3072.2,1740.6,2071.6
2025-12-13T14:29:18,apple1,high,1339.8,5061.6,7243.0,4256.4,9147.0,4488.4,10903.4,8026.8,4896.0,2965.8,1655.0,1973.0
2025-12-13T14:36:58,apple2,low,1486.4,6297.4,8734.6,4672.6,9566.0,4716.8,11345.2,8345.8,5089.2,3122.0,1784.8,2123.4
2025-12-13T14:37:33,apple2,medium,1403.8,5743.8,8060.4,4419.4,9237.2,4576.0,11045.8,8189.8,4984.2,3026.0,1706.8,2038.2
2025-12-13T14:38:04,apple2,high,1376.0,5449.6,7667.0,4311.2,9130.6,4535.0,10976.8,8148.8,4968.8,3008.8,1686.0,2009.8
2025-12-13T14:44:32,apple3,low,1507.8,6349.8,8807.4,4725.2,9611.2,4766.0,11446.2,8432.6,5143.4,3158.4,1812.0,2154.4
2025-12-13T14:45:21,apple3,medium,1442.2,5889.6,8239.2,4534.8,9419.8,4653.2,11216.8,8284.8,5054.6,3089.0,1751.4,2085.8
2025-12-13T14:45:53,apple3,high,1403.2,5560.4,7832.6,4398.2,9278.0,4601.2,11109.8,8242.0,5030.0,3056.8,1720.4,2050.0
