timestamp,juice_type,concentration,avg_ch1,avg_ch2,avg_ch3,avg_ch4,avg_ch5,avg_ch6,avg_ch7,avg_ch8,avg_ch9,avg_ch10,avg_ch11,avg_ch12
2025-12-13T12:28:15,grape1,low,80.6,1133.4,2013.6,819,2359,1043.4,3539.6,2981.2,1988.8,869,136,159
2025-12-13T12:29:29,grape1,medium,23.6,385.2,712.2,298.8,875.4,423.6,1633.8,1619.6,1286.2,592.2,78,81
2025-12-13T12:30:31,grape1,high,14.2,258,514.4,216.6,547.6,233,879.4,855.2,719.4,363,51,40.2
2025-12-13T12:44:45,grape2,low,152,1650.8,2558.4,956,1950.4,982.2,3590,3423.6,2517,1127,223.6,262
2025-12-13T12:46:11,grape2,medium,30,513.2,765.8,246.2,360.2,236.4,1399.6,1831.4,1775.4,826.2,109,110.8
2025-12-13T12:47:16,grape2,high,7,69,90.2,38,34,27,380.6,701.4,1028.6,593,88,72
2025-12-13T13:00:31,grape3,low,1034.2,4635,6480.4,3358.8,6868,3458.4,8836.8,6910.4,4386.2,2499.4,1262.6,1504.8
2025-12-13T13:01:43,grape3,medium,664.4,3211.4,4582.6,2298.2,4765.2,2445.4,6776.2,5673.2,3764.4,1981,839.4,1003.6
2025-12-13T13:02:40,grape3,high,262.6,1622.2,2440.8,1123.4,2415.4,1277.6,4371.2,4256.2,3150.6,1464.2,387.6,462.2
2025-12-13T13:33:21,orange1,high,1,3,6,4,69,46,143,138,88,39,5,4
2025-12-13T13:35:34,orange1,medium,3,15,40.2,26,196,103,323.8,293,186,85,11,10
2025-12-13T13:37:16,orange1,low,35.4,606.2,1235.8,550.6,1960.2,839.4,2677,2088.8,1243.8,532.8,69.8,79.4
2025-12-13T13:52:42,orange2,low,19,236,539,276.4,1236.2,570.4,1847,1543.8,971.4,435.8,58.8,63
2025-12-13T13:53:31,orange2,medium,7,54,136.4,83,491.2,248.8,808.4,728,486,230,32,30.4
2025-12-13T13:54:15,orange2,high,3,9,23,17,174,102,329.6,319,216,105,15,13
2025-12-13T14:03:56,orange3,low,292.8,1861,2988,1404.8,3917,1863.8,5307,4089.8,2427.8,1177.8,377.2,453.8
2025-12-13T14:04:54,orange3,medium,42.4,674.6,1231.6,496,1966.6,943.8,3000.2,2418.4,1447.6,614.4,81,97.4
2025-12-13T14:05:42,orange3,high,18.4,219.6,425,187.8,951.4,533.4,1669.8,1472.8,914.2,407.8,54.2,57.2
2025-12-13T14:24:06,apple1,low,1452.2,6076.8,8493.0,4593.6,9435.2,4654.8,11207.0,8243.6,5018.2,3067.6,1748.6,2082.8
2025-12-13T14:25:17,apple1,medium,1434.2,5717.4,8051.6,4518.0,9445.4,4659.6,11211.0,8266.0,5032.0,3073.6,1745.8,2078.0
2025-12-13T14:26:16,apple1,high,1362.8,5129.4,7342.8,4319.8,9252.2,4556.6,11062.6,8183.0,4968.2,3002.2,1683.0,2006.8
2025-12-13T14:34:13,apple2,low,1465.2,6233.2,8664.0,4618.0,9448.8,4667.4,11222.6,8268.6,5037.0,3083.0,1758.8,2093.0
2025-12-13T14:34:57,apple2,medium,1416.4,5785.6,8088.0,4452.2,9298.0,4594.2,11109.6,8203.6,5007.8,3049.2,1721.2,2049.0
2025-12-13T14:35:34,apple2,high,1358.8,5396.4,7609.2,4269.8,9049.8,4498.8,10901.0,8098.2,4934.4,2978.2,1665.2,1985.0
2025-12-13T14:42:55,apple3,low,1478.0,6274.2,8702.8,4648.4,9509.8,4685.6,11281.8,8294.6,5063.0,3106.6,1774.4,2113.4
2025-12-13T14:43:30,apple3,medium,1409.0,5796.8,8130.6,4442.2,9237.6,4577.2,11052.4,8173.4,4977.4,3023.2,1710.4,2036.8
2025-12-13T14:43:57,apple3,high,1387.4,5516.6,7774.4,4362.2,9194.6,4557.8,11035.6,8188.0,4993.6,3028.0,1700.2,2025.4
